# #######################################################
# LOS LOG
# LOS Statistics
# #######################################################
# 
# Parameters [Units]:
# LOS exit time [s], LOS start time [s],Time of min distance [s],ACID1 [-],ACID2 [-],LAT1 [deg],LON1 [deg],ALT1 [ft],LAT2 [deg],LON2 [deg],ALT2 [ft],DIST [m]
# 
# simt
789.50000000,787.50000000,787.50000000,D949,D953,48.19745988,16.35841088,9.14781000,48.19730616,16.35856800,16.63065000,20.68332088
793.00000000,791.00000000,792.00000000,D432,D132,48.19923297,16.37548799,59.98464000,48.19931106,16.37584907,66.51174000,28.13520205
800.50000000,794.00000000,796.95000000,D112,D267,48.20944768,16.39526413,16.63065000,48.20944655,16.39525664,9.14400000,0.56903958
801.00000000,798.50000000,800.35000000,D895,D1078,48.24694814,16.40287701,36.57600000,48.24694389,16.40260615,43.44461000,20.06219455
806.50000000,802.00000000,802.00000000,D657,D435,48.20245961,16.38358863,25.77465000,48.20246444,16.38359883,19.01571000,0.92712807
820.50000000,819.00000000,820.45000000,D772,D3,48.19449298,16.38642445,12.46956000,48.19446960,16.38638824,20.73349000,3.73690795
822.50000000,815.50000000,819.70000000,D979,D918,48.21430565,16.35928525,73.15200000,48.21431588,16.35900343,73.15200000,20.91237864
822.50000000,821.00000000,821.00000000,D3,D772,48.19448053,16.38642080,12.46575000,48.19447543,16.38637134,19.16694000,3.70956176
823.50000000,821.50000000,821.50000000,D634,D967,48.19477604,16.33044162,14.01642000,48.19493815,16.33033428,19.20739000,19.70404408
844.00000000,840.00000000,841.65000000,D865,D818,48.20098441,16.36893335,12.57300000,48.20104593,16.36864178,18.14739000,22.66669518
850.00000000,842.00000000,842.00000000,D232,D816,48.19915599,16.37534261,18.28800000,48.19928473,16.37542156,24.20739000,15.46445572
852.00000000,847.50000000,849.80000000,D568,D427,48.20425417,16.35130163,58.26600000,48.20422570,16.35130707,54.86400000,3.19179214
861.50000000,848.50000000,858.40000000,D887,D555,48.20417470,16.36875837,26.32710000,48.20417599,16.36875351,27.43200000,0.38791728
873.50000000,869.50000000,873.45000000,D242,D1159,48.19757831,16.40249023,30.71539000,48.19748961,16.40232431,21.70739000,15.76405504
875.50000000,874.50000000,875.45000000,D857,D1104,48.19496700,16.36102458,34.22925000,48.19488892,16.36087868,24.46020000,13.86861940
893.50000000,892.00000000,892.55000000,D619,D1156,48.20805003,16.37738222,36.57600000,48.20778778,16.37726731,33.60420000,30.37879212
899.00000000,898.00000000,898.95000000,D824,D934,48.18297703,16.36433179,38.34765000,48.18287074,16.36424199,29.99539000,13.56474396
901.00000000,898.00000000,900.95000000,D1055,D625,48.19678948,16.36589015,12.99210000,48.19697006,16.36563802,21.25980000,27.43002229
924.50000000,923.50000000,923.50000000,D630,D467,48.22489473,16.39964976,21.26361000,48.22504432,16.39991997,28.35139000,26.02615399
930.50000000,916.50000000,930.40000000,D640,D540,48.19296873,16.35496433,25.40661000,48.19293936,16.35467548,17.56410000,21.65837585
940.00000000,905.50000000,908.05000000,D1100,D128,48.21413419,16.35892137,9.14400000,48.21413424,16.35892099,9.14400000,0.02880308
946.00000000,940.50000000,945.95000000,D551,D205,48.22939645,16.40526648,73.87590000,48.22941308,16.40493660,65.78339000,24.50540687
946.00000000,942.50000000,942.80000000,D690,D794,48.19472317,16.33618375,34.79139000,48.19472864,16.33618076,27.43200000,0.64669989
958.00000000,956.50000000,957.95000000,D1210,D495,48.22350097,16.38934378,19.26261000,48.22327217,16.38933711,9.31545000,25.44703107
963.00000000,955.00000000,955.00000000,D84,D868,48.19449610,16.38683078,14.26642000,48.19452078,16.38674051,21.70739000,7.23150803
966.50000000,957.00000000,961.45000000,D723,D708,48.20937626,16.42727149,109.55655000,48.20945842,16.42753808,109.72800000,21.76490177
976.00000000,974.50000000,975.95000000,D411,D1162,48.18030825,16.35911694,25.66035000,48.18035050,16.35907681,33.29723000,5.56148480
977.50000000,976.50000000,977.45000000,D411,D1162,48.18036532,16.35905807,23.33625000,48.18037645,16.35904243,31.73068000,1.69513603
980.00000000,978.00000000,978.60000000,D736,D723,48.20941446,16.42721660,106.86669000,48.20956874,16.42751651,109.72800000,28.07499555
980.50000000,967.50000000,979.95000000,D1251,D1254,48.21410421,16.35916491,23.15661000,48.21409954,16.35920524,16.23060000,3.03238942
986.00000000,984.50000000,985.95000000,D923,D917,48.23540958,16.42357421,46.44461000,48.23530775,16.42329507,36.57600000,23.57191018
993.50000000,969.50000000,981.80000000,D368,D411,48.18054811,16.35890660,21.24075000,48.18054672,16.35890269,18.28800000,0.32800689
1001.00000000,986.00000000,993.05000000,D1251,D1100,48.21426604,16.35941432,16.91640000,48.21410655,16.35938438,17.90700000,17.87261671
1001.50000000,997.00000000,998.15000000,D472,D1172,48.21503651,16.35096136,18.28800000,48.21493079,16.35102320,24.20739000,12.61632267
1004.00000000,979.00000000,979.00000000,D1162,D368,48.18048694,16.35893851,21.24075000,48.18040195,16.35900472,26.55097000,10.64964013
1006.00000000,1000.50000000,1000.50000000,D569,D1080,48.20270999,16.39213393,10.80516000,48.20270367,16.39211357,18.28800000,1.66508239
