,Scenario_name,SAF1,SAF2,SAF2_1,SAF3,SAF4,SAF5,SAF6,SAF6_1,SAF6_2,SAF6_3,SAF6_4,SAF6_5,SAF6_6,SAF6_7,#Aircraft_number,#Succeful_aircraft_number,#Spawned_aircraft_number,AEQ1,AEQ1_1,AEQ2,AEQ2_1,AEQ3,AEQ4,AEQ5,AEQ5_1,CAP1,ENV1,EFF1,EFF2,EFF3,EFF4,EFF5,EFF6,PRI1,PRI2,CAP2,SAF1_2,CAP3,CAP4,ENV2,ENV4,ENV3_2
0,1_very_low_40_0_,398,133,30,66.58291457286433,0.020381,330.5,1571,1417,7,1410,213,1197,0,3,1667,1666,1666,19,1.1397720455908817,26,1.56062424969988,869.1490052781063,11872.79815929155,1297,77.80443911217756,220.42285260104632,1147046.2021875079,68.00806240737192,34.478767368470095,33.80222066304308,67.88699546448692,71.4216860313887,0.5618247298919568,3018953.9088713676,37595558.78915885,0.07983193277310924,0.2388955582232893,,,24.7898334386427,5.217836457708332,8691
1,1_very_low_40_0_R1,453,167,56,63.13465783664459,0.020381,445.5,1662,1507,8,1499,286,1213,0,3,1735,1734,1734,19,1.095100864553314,26,1.4994232987312572,869.1490052781062,11872.79815929155,1297,74.75504322766571,220.4228526010463,1272668.952187508,68.00806240737192,30.700476094263283,25.543629278204744,67.88699546448693,71.4216860313887,0.5618247298919568,3018953.9088713676,37595558.78915885,0.09630911188004614,0.26124567474048443,-2.842170943040401e-14,0.0164771791069369,31.447003905302658,4.652080003178347,8998
2,1_very_low_40_0_W1,404,134,32,66.83168316831683,0.0307953,336.5,1592,1407,7,1400,211,1189,0,3,1667,1666,1666,19,1.1397720455908817,26,1.56062424969988,910.5195486601492,12024.2966261312,1304,78.22435512897421,224.48733405031723,1146845.007892985,67.3830183137738,34.48228037833536,33.79432578481791,67.26589696955473,71.0463370971836,0.5618247298919568,3037196.5379222548,37974205.11894828,0.08043217286914765,0.2424969987995198,,,24.77388958705297,5.218991485403768,8687
3,3_very_low_40_0_,2960,89,1,96.99324324324324,0.0371256,226.5,72,47,1,46,0,46,1,0,1667,1667,1667,0,0.0,0,0.0,,,0,0.0,,1310705.0691769999,inf,2.8320733373197866,2.832133515553655,inf,inf,0.6658668266346731,0.0,0.0,0.05338932213557288,1.7756448710257948,,,36.27342169509467,3.0520341276936156,7231
4,3_very_low_40_0_R1,3124,97,6,96.89500640204865,0.027505,378.5,155,131,4,127,78,49,1,0,1735,1735,1735,0,0.0,0,0.0,,,0,0.0,,1435694.647541722,inf,2.808740944380088,2.7616331756267773,inf,inf,0.7168566286742651,0.0,0.0,0.05590778097982709,1.8005763688760807,,0.0025184588442542094,40.76607071961989,2.791072988510973,7430
5,3_very_low_40_0_W1,3030,101,2,96.66666666666667,0.0038773,316.5,52,33,1,32,0,32,1,0,1667,1667,1667,0,0.0,0,0.0,,,0,0.0,,1315251.9868359999,inf,2.8434505232283365,2.8435077596181078,inf,inf,0.7252549490101979,0.0,0.0,0.060587882423515295,1.8176364727054588,,,36.05598409020575,3.0454870692359415,7323
6,2_very_low_40_0_,1106,58,9,94.75587703435805,0.0,231.0,464,421,0,421,5,416,0,0,1667,1660,1660,340,20.39592081583683,263,15.843373493975903,462.17210297768804,2741.8853109933657,1545,92.68146370725854,550.2150003953528,1834970.0664342542,53.51012608581374,15.37883937123884,14.828011708465812,53.22506568439067,50.31650215881479,7.409638554216867,4206450.91646803,47053917.78965384,0.03493975903614458,0.6662650602409639,,,46.31985570890382,6.873720997468552,6654
7,2_very_low_40_0_R1,1176,70,13,94.04761904761905,0.0,266.5,578,531,3,528,80,448,0,3,1735,1732,1732,340,19.596541786743515,268,15.473441108545035,478.0908856333362,3341.5871179589867,1542,88.87608069164266,556.2157487287284,1973833.3295966983,53.25454288902664,14.40276445227878,12.83080031245876,52.97142194950173,50.05496892387748,7.608173076923077,4237085.796097511,47354632.31819196,0.04041570438799076,0.6789838337182448,6.0007483333755545,0.00547594535184618,48.471871544333254,6.460317870544504,6980
8,2_very_low_40_0_W1,1172,58,8,95.05119453924915,0.0,152.5,463,422,0,422,5,417,0,0,1667,1660,1660,338,20.275944811037792,266,16.02409638554217,462.99966137016804,2760.005802264383,1545,92.68146370725854,552.1078991520516,1838323.351200426,53.509228104868036,15.208754473059424,14.669671452497898,53.22296508887747,50.22947514917466,7.409638554216867,4213560.201790736,47055764.25434751,0.03493975903614458,0.7060240963855422,,,46.2413714495022,6.868303032593662,6686
